id;btag;wpid;kurs
683;2005-11-09;112;50.07
684;2006-02-20;844;96.22
685;2006-03-06;1274;31.95
686;2006-10-30;173;0.66
687;2006-10-30;941;16.90
690;2006-12-31;1243;61.98
691;2007-01-02;1243;66.23
692;2007-02-01;1243;67.34
693;2007-02-19;846;1.85
694;2007-02-19;845;1.60
695;2007-02-28;845;1.30
696;2007-02-28;846;1.50
697;2007-03-01;1243;67.45
698;2007-04-01;1243;67.45
699;2007-05-01;1243;69.93
700;2007-06-01;1243;72.60
701;2007-07-01;1243;72.46
702;2007-08-01;1243;70.05
703;2007-09-01;1243;69.08
704;2007-09-07;992;96.65
705;2007-09-10;967;97.26
706;2007-09-11;963;98.44
707;2007-09-24;993;8.49
708;2007-09-24;996;76.77
709;2007-10-01;1243;72.46
710;2007-10-10;976;0.35
711;2007-10-31;968;48.73
712;2007-11-01;970;55.02
713;2007-11-01;971;48.52
714;2007-11-01;1243;74.07
715;2007-12-01;1243;70.80
716;2007-12-03;990;4.15
717;2007-12-03;27;139.81
718;2007-12-03;987;127.94
719;2007-12-22;976;0.22
720;2008-06-19;987;81.17
721;2008-06-27;990;2.85
722;2008-09-12;993;6.60
723;2008-10-01;963;100.00
724;2008-10-06;996;54.57
725;2008-10-09;1001;100.67
728;2008-12-19;863;153.21
729;2008-12-19;113;46.26
730;2009-08-04;26;33.44
731;2009-08-04;857;59.38
732;2009-08-04;114;21.15
733;2009-08-04;28;56.42
734;2009-08-05;1275;132.07
736;2009-08-06;1276;138.66
738;2009-08-06;18;44.36
741;2009-08-06;21;69.03
742;2009-08-24;992;100.00
744;2009-08-31;1276;108.81
745;2009-09-02;1278;4.57
746;2009-09-06;1243;47.85
747;2009-09-10;857;62.97
748;2009-09-23;1278;5.00
749;2009-09-24;1001;101.76
750;2009-09-24;758;165.82
751;2009-09-24;863;161.30
752;2009-10-26;967;100.00
754;2009-11-18;1278;4.43
755;2009-11-18;1279;3.89
757;2009-12-08;27;26.71
758;2009-12-11;1281;99.84
759;2009-12-16;1278;4.97
760;2009-12-16;1279;4.58
761;2009-12-16;857;65.57
